Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	PubMed ID	Kinetics	pH dependence	Redox potential	Site	EC number	Activity regulation	Active site	Binding site	Catalytic activity
L0IQU9	unreviewed	L0IQU9_9MYCO	propane 2-monooxygenase (EC 1.14.13.227)	Mycsm_01477	Mycobacterium sp. JS623	366	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
L2EKQ5	unreviewed	L2EKQ5_9BURK	Phenol hydroxylase P1 protein	D769_08392	Cupriavidus sp. HMR-1	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	23409271									
L7V156	unreviewed	L7V156_MYCL1	propane 2-monooxygenase (EC 1.14.13.227)	MULP_00115	Mycobacterium liflandii (strain 128FXT)	363	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	23204453					1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
L8MFP7	unreviewed	L8MFP7_PSEFK	Phenol hydroxylase, P1 oxygenase component DmpL (EC 1.14.13.7)	ppKF707_0406	Pseudomonas furukawaii	326	phenol 2-monooxygenase activity [GO:0018662]; cellular aromatic compound metabolic process [GO:0006725]	22843571					1.14.13.7				
L9LWR4	unreviewed	L9LWR4_9GAMM	Methane/phenol/poluene hydroxylase	ACINWC743_1417	Acinetobacter sp. WC-743	333	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
L9MHH0	unreviewed	L9MHH0_9GAMM	Methane/phenol/poluene hydroxylase	ACIN5021_1454	Acinetobacter sp. OIFC021	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
M1KCJ8	unreviewed	M1KCJ8_PSEPU	Phenol/benzene hydroxylase subunit	phcL	Pseudomonas putida (Arthrobacter siderocapsulatus)	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
M2ZH20	unreviewed	M2ZH20_9NOCA	propane 2-monooxygenase (EC 1.14.13.227)	G352_04555	Rhodococcus ruber BKS 20-38	368	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	23558535					1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
M4Z247	unreviewed	M4Z247_9BRAD	Methane/phenol/toluene hydroxylase	S58_10630	Bradyrhizobium oligotrophicum S58	341	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	23396330									
M4Z3P0	unreviewed	M4Z3P0_9BRAD	Methane/phenol/toluene monooxygenase beta subunit	S58_14680	Bradyrhizobium oligotrophicum S58	365	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	23396330									
M7A469	unreviewed	M7A469_9ACTN	propane 2-monooxygenase (EC 1.14.13.227)	ISGA_1193	Gordonia sp. NB41Y	368	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	23744905					1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
M9YBK5	unreviewed	M9YBK5_AZOVI	Multi-component phenol hydoxylase, beta subunit LapL	lapL AvCA6_30750	Azotobacter vinelandii CA6	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	23792740									
M9YH96	unreviewed	M9YH96_AZOVI	Phenol hydroxylase subunit P1	dpmL AvCA6_08850	Azotobacter vinelandii CA6	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	23792740									
N1M3M4	unreviewed	N1M3M4_9NOCA	propane 2-monooxygenase (EC 1.14.13.227)	EBESD8_6650	Rhodococcus aetherivorans	372	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
N6XIV2	unreviewed	N6XIV2_9RHOO	Methane/phenol/toluene hydroxylase	B447_13169	Thauera sp. 27	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N6XK33	unreviewed	N6XK33_9RHOO	Multi-component phenol hydoxylase subunit beta LapL	C664_02465	Thauera sp. 63	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N6Y6R8	unreviewed	N6Y6R8_9RHOO	Methane/phenol/toluene hydroxylase	C664_16395	Thauera sp. 63	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N6YA91	unreviewed	N6YA91_9RHOO	Multi-component phenol hydoxylase subunit beta LapL	B447_13279	Thauera sp. 27	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N6YAB8	unreviewed	N6YAB8_9RHOO	Phenol 2-monooxygenase	B447_13379	Thauera sp. 27	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N6YBC8	unreviewed	N6YBC8_9RHOO	Phenol 2-monooxygenase	C664_02350	Thauera sp. 63	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N6YGL1	unreviewed	N6YGL1_9RHOO	Phenol hydroxylase P1 protein	C664_05266	Thauera sp. 63	336	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N6YUZ3	unreviewed	N6YUZ3_THAL4	Phenol 2-monooxygenase	C666_13605	Thauera linaloolentis (strain DSM 12138 / CCUG 41526 / CIP 105981 / IAM 15112 / NBRC 102519 / 47Lol)	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N6Z395	unreviewed	N6Z395_9RHOO	Phenol 2-monooxygenase	C665_01102	Thauera aminoaromatica S2	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N6Z626	unreviewed	N6Z626_THAL4	Multi-component phenol hydoxylase subunit beta LapL	C666_03840	Thauera linaloolentis (strain DSM 12138 / CCUG 41526 / CIP 105981 / IAM 15112 / NBRC 102519 / 47Lol)	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N6ZUH5	unreviewed	N6ZUH5_9RHOO	Phenol 2-monooxygenase	C667_05185	Thauera phenylacetica B4P	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N8P2H1	unreviewed	N8P2H1_9GAMM	Phenol hydroxylase P1 protein	F994_00806	Acinetobacter bohemicus ANC 3994	334	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N8QUX5	unreviewed	N8QUX5_9GAMM	Phenol hydroxylase P1 protein	F985_03315	Acinetobacter seifertii	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	25563912									
N8TYQ2	unreviewed	N8TYQ2_9GAMM	Phenol hydroxylase P1 protein	F975_01584	Acinetobacter sp. ANC 3789	334	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N8XEG7	unreviewed	N8XEG7_ACIBZ	Phenol hydroxylase P1 protein	F963_01317	Acinetobacter bereziniae NIPH 3	333	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N8YBW1	unreviewed	N8YBW1_ACIGI	Phenol hydroxylase P1 protein	F964_02573	Acinetobacter guillouiae NIPH 991	333	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N8ZMQ9	unreviewed	N8ZMQ9_9GAMM	Phenol hydroxylase P1 protein	F960_02980	Acinetobacter gerneri DSM 14967 = CIP 107464 = MTCC 9824	329	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N9CQX0	unreviewed	N9CQX0_9GAMM	Phenol hydroxylase P1 protein	F947_00659	Acinetobacter towneri DSM 14962 = CIP 107472	334	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N9D280	unreviewed	N9D280_ACIBZ	Phenol hydroxylase P1 protein	F938_03088	Acinetobacter bereziniae LMG 1003 = CIP 70.12	333	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N9M1H6	unreviewed	N9M1H6_9GAMM	DNA phosphorothioation-dependent restriction protein DptG	F906_01988	Acinetobacter sp. NIPH 713	334	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
N9QK72	unreviewed	N9QK72_9GAMM	Phenol hydroxylase P1 protein	F886_01633	Acinetobacter sp. NIPH 542	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
O06117	unreviewed	O06117_9HYPH	Soluble methane monooxygenase protein A beta subunit	mmoY	Methylocystis sp. M	395	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	9143121									
O07072	unreviewed	O07072_BURCE	Toluene-3-monooxygenase oxygenase subunit 2	tbhE	Burkholderia cepacia (Pseudomonas cepacia)	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
O30592	unreviewed	O30592_RALPI	CrpB	crpB	Ralstonia pickettii (Burkholderia pickettii)	335	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	9451833									
O32429	unreviewed	O32429_ACISP	DMS oxygenase component	dsoB	Acinetobacter sp	333	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	9345770									
O69182	unreviewed	O69182_CUPNE	Putative hydroxylase component	phlO	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	9797289									
O84959	unreviewed	O84959_9RALS	Phenol hydroxylase component	poxB	Ralstonia sp. E2	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	9695910									
O87802	unreviewed	O87802_STUST	Toluene o-xylene monooxygenase component TouE (Toluene, o-xylene monooxygenase oxygenase subunit)	touE	Stutzerimonas stutzeri (Pseudomonas stutzeri)	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	9758777; 10473416; 15096510; 17117860; 18044971; 27185632									
Q08KD6	unreviewed	Q08KD6_9PSEU	propane 2-monooxygenase (EC 1.14.13.227)	prm2C	Pseudonocardia sp. TY-7	365	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	17046531					1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
Q08KF1	unreviewed	Q08KF1_9MYCO	propane 2-monooxygenase (EC 1.14.13.227)	prmC	Mycobacterium sp. TY-6	351	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	17046531					1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
Q0K3T7	unreviewed	Q0K3T7_CUPNH	Phenol hydroxylase P1 protein (EC 1.14.13.7)	poxB H16_B0540	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	331	phenol 2-monooxygenase activity [GO:0018662]; cellular aromatic compound metabolic process [GO:0006725]	16964242					1.14.13.7				
Q0PHK3	unreviewed	Q0PHK3_9RALS	BtxT	btxT	Ralstonia sp. PHS1	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
Q0PHM1	unreviewed	Q0PHM1_9RALS	BtxB	btxB	Ralstonia sp. PHS1	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
Q1LMG1	unreviewed	Q1LMG1_CUPMC	Phenol hydroxylase P1 protein (Phenol 2-monooxygenase P1 component) (EC 1.14.13.7)	phyA Rmet_1786	Cupriavidus metallidurans (strain ATCC 43123 / DSM 2839 / NBRC 102507 / CH34) (Ralstonia metallidurans)	331	phenol 2-monooxygenase activity [GO:0018662]; cellular aromatic compound metabolic process [GO:0006725]	20463976					1.14.13.7				
Q1LNR3	unreviewed	Q1LNR3_CUPMC	Phenol hydroxylase P1 protein (Phenol 2-monooxygenase P1 component)(Protein belongs to CMGI-2) (EC 1.14.13.7)	tomA1 Rmet_1330	Cupriavidus metallidurans (strain ATCC 43123 / DSM 2839 / NBRC 102507 / CH34) (Ralstonia metallidurans)	331	phenol 2-monooxygenase activity [GO:0018662]; cellular aromatic compound metabolic process [GO:0006725]	20463976					1.14.13.7				
Q1LNT1	unreviewed	Q1LNT1_CUPMC	Toluene-4-monooxygenase system protein E (Belongs to CMGI-2) (EC 1.14.13.7)	tmoE Rmet_1312	Cupriavidus metallidurans (strain ATCC 43123 / DSM 2839 / NBRC 102507 / CH34) (Ralstonia metallidurans)	328	phenol 2-monooxygenase activity [GO:0018662]; cellular aromatic compound metabolic process [GO:0006725]	20463976					1.14.13.7				
Q1YSJ2	unreviewed	Q1YSJ2_9GAMM	Methane/phenol/toluene hydroxylase	GB2207_11373	gamma proteobacterium HTCC2207	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
Q25BW2	unreviewed	Q25BW2_9GAMM	Soluble methane monooxygenase hydroxylase component beta subunit	mmoY	Methylotuvimicrobium japanense	392	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	9836428; 18031335; 18319461									
Q27RN6	unreviewed	Q27RN6_METSR	Methane monooxygenase (MmoY)	mmoY C5689_05365 FM996_19900	Methylosinus sporium	395	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	17005974; 29725720; 31616787									
Q2JA07	unreviewed	Q2JA07_FRACC	propane 2-monooxygenase (EC 1.14.13.227)	Francci3_2518	Frankia casuarinae (strain DSM 45818 / CECT 9043 / CcI3)	367	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	17151343					1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
Q2JGI8	unreviewed	Q2JGI8_FRACC	propane 2-monooxygenase (EC 1.14.13.227)	Francci3_0215	Frankia casuarinae (strain DSM 45818 / CECT 9043 / CcI3)	341	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	17151343					1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
Q2QK80	unreviewed	Q2QK80_PSEUO	Phenol hydroxylase (Phenol hydroxylase subunit)	phcL PM1_0212470	Pseudomonas sp. (strain M1)	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	10388678; 17826858; 23405299									
Q390N5	unreviewed	Q390N5_BURL3	Phenol 2-monooxygenase P1 subunit (EC 1.14.13.7)	Bcep18194_B2970	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	331	phenol 2-monooxygenase activity [GO:0018662]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.7				
Q3HW56	unreviewed	Q3HW56_BURCE	Phenol hydroxylase component		Burkholderia cepacia (Pseudomonas cepacia)	264	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	16563713									
Q3J2G3	unreviewed	Q3J2G3_CERS4	Monooxygenase beta subunit	RSP_2794	Cereibacter sphaeroides (strain ATCC 17023 / DSM 158 / JCM 6121 / CCUG 31486 / LMG 2827 / NBRC 12203 / NCIMB 8253 / ATH 2.4.1.) (Rhodobacter sphaeroides)	352	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
Q3T938	unreviewed	Q3T938_METSI	Protein A-beta subunit of soluble methane monooxygenase	mmoY	Methylocella silvestris	391	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	16238619									
Q3YA74	unreviewed	Q3YA74_9GAMM	Protein A beta subunit of soluble methane monooxygenase	mmoY	Methylomonas sp. GYJ3	395	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
Q3YA80	unreviewed	Q3YA80_METTR	Protein A beta subunit of soluble methane monooxygenase	mmoY	Methylosinus trichosporium	395	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
Q43979	unreviewed	Q43979_ACICA	Phenolhydroxylase component	ORF2	Acinetobacter calcoaceticus	333	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	8596453									
Q46PA8	unreviewed	Q46PA8_CUPPJ	Phenol 2-monooxygenase P1 subunit (EC 1.14.13.7)	Reut_B5681	Cupriavidus pinatubonensis (strain JMP 134 / LMG 1197) (Cupriavidus necator (strain JMP 134))	335	phenol 2-monooxygenase activity [GO:0018662]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.7				
Q46PB4	unreviewed	Q46PB4_CUPPJ	Toluene 4-monooxygenase protein E (EC 1.14.13.-)	Reut_B5675	Cupriavidus pinatubonensis (strain JMP 134 / LMG 1197) (Cupriavidus necator (strain JMP 134))	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.-				
Q470W8	unreviewed	Q470W8_CUPPJ	Phenol 2-monooxygenase P1 subunit (EC 1.14.13.7)	Reut_A1700	Cupriavidus pinatubonensis (strain JMP 134 / LMG 1197) (Cupriavidus necator (strain JMP 134))	340	phenol 2-monooxygenase activity [GO:0018662]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.7				
Q479D7	unreviewed	Q479D7_DECAR	Toluene 4-monooxygenase protein E (EC 1.14.13.-)	Daro_3816	Dechloromonas aromatica (strain RCB)	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.-				
Q479F6	unreviewed	Q479F6_DECAR	Phenol 2-monooxygenase P1 subunit (EC 1.14.13.7)	Daro_3796	Dechloromonas aromatica (strain RCB)	329	phenol 2-monooxygenase activity [GO:0018662]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.7				
